Source,Target,Type,Id,Label,timeset,Weight
491,SAN MIGUEL,Directed,1203,,,1
492,SAN MIGUEL,Directed,1204,,,1
493,SAN MIGUEL,Directed,1205,,,1
494,SAN MIGUEL,Directed,1206,,,1
495,SAN MIGUEL,Directed,1207,,,1
496,SAN MIGUEL,Directed,1208,,,1
497,SAN MIGUEL,Directed,1209,,,1
498,SAN RAMON,Directed,1210,,,1
499,SAN RAMON,Directed,1211,,,1
500,SAN RAMON,Directed,1212,,,1
501,SANTIAGO,Directed,1213,,,1
502,SANTIAGO,Directed,1214,,,1
503,SANTIAGO,Directed,1215,,,1
504,SANTIAGO,Directed,1216,,,1
505,SANTIAGO,Directed,1217,,,1
506,SANTIAGO,Directed,1218,,,1
507,SANTIAGO,Directed,1219,,,1
508,SANTIAGO,Directed,1220,,,1
509,SANTIAGO,Directed,1221,,,1
510,SANTIAGO,Directed,1222,,,1
511,SANTIAGO,Directed,1223,,,1
512,SANTIAGO,Directed,1224,,,1
513,SANTIAGO,Directed,1225,,,1
514,SANTIAGO,Directed,1226,,,1
515,SANTIAGO,Directed,1227,,,1
516,SANTIAGO,Directed,1228,,,1
517,SANTIAGO,Directed,1229,,,1
518,SANTIAGO,Directed,1230,,,1
519,SANTIAGO,Directed,1231,,,1
520,SANTIAGO,Directed,1232,,,1
521,SANTIAGO,Directed,1233,,,1
522,SANTIAGO,Directed,1234,,,1
523,SANTIAGO,Directed,1235,,,1
524,SANTIAGO,Directed,1236,,,1
525,SANTIAGO,Directed,1237,,,1
526,SANTIAGO,Directed,1238,,,1
527,SANTIAGO,Directed,1239,,,1
528,SANTIAGO,Directed,1240,,,1
529,SANTIAGO,Directed,1241,,,1
530,SANTIAGO,Directed,1242,,,1
531,SANTIAGO,Directed,1243,,,1
532,SANTIAGO,Directed,1244,,,1
533,SANTIAGO,Directed,1245,,,1
534,SANTIAGO,Directed,1246,,,1
535,SANTIAGO,Directed,1247,,,1
536,SANTIAGO,Directed,1248,,,1
537,SANTIAGO,Directed,1249,,,1
538,SANTIAGO,Directed,1250,,,1
539,SANTIAGO,Directed,1251,,,1
540,SANTIAGO,Directed,1252,,,1
541,SANTIAGO,Directed,1253,,,1
542,TALAGANTE,Directed,1254,,,1
543,MAIPU,Directed,1255,,,1
544,TALAGANTE,Directed,1256,,,1
545,TALAGANTE,Directed,1257,,,1
546,TALAGANTE,Directed,1258,,,1
