Id,Label,timeset,farmacia,latitude,longitude,NOmbre,comune,weighted indegree,weighted outdegree,weighted degree,indegree,outdegree,degree,Authority,Hub,pageranks,clustering,triangles
108,AHUMADA,,LA FLORIDA,33.519608,-70.602804,AHUMADA,,0,1,1,0,1,1,0,0,0.000722,0,0
109,AHUMADA,,LA FLORIDA,33.522524,-70.579158,AHUMADA,,0,1,1,0,1,1,0,0,0.000722,0,0
110,BELEN,,LA FLORIDA,33.522497,-70.574622,BELEN,,0,1,1,0,1,1,0,0,0.000722,0,0
111,C.A.,,LA FLORIDA,33.539579,-70.603521,C.A.,,0,1,1,0,1,1,0,0,0.000722,0,0
112,CRUZ VERDE,,LA FLORIDA,33.522077,-70.597461,CRUZ VERDE,,0,1,1,0,1,1,0,0,0.000722,0,0
113,CRUZ VERDE,,LA FLORIDA,33.539606,-70.583173,CRUZ VERDE,,0,1,1,0,1,1,0,0,0.000722,0,0
114,CRUZ VERDE,,LA FLORIDA,33.539997,-70.571672,CRUZ VERDE,,0,1,1,0,1,1,0,0,0.000722,0,0
115,CRUZ VERDE,,LA FLORIDA,33.55396,-70.602718,CRUZ VERDE,,0,1,1,0,1,1,0,0,0.000722,0,0
116,CRUZ VERDE,,LA FLORIDA,33.534741,-70.554336,CRUZ VERDE,,0,1,1,0,1,1,0,0,0.000722,0,0
117,CRUZ VERDE,,LA FLORIDA,33.526927,-70.596404,CRUZ VERDE,,0,1,1,0,1,1,0,0,0.000722,0,0
118,CRUZ VERDE,,LA FLORIDA,33.553512,-70.586767,CRUZ VERDE,,0,1,1,0,1,1,0,0,0.000722,0,0
119,CRUZ VERDE,,LA FLORIDA,33.510715,-70.608632,CRUZ VERDE,,0,1,1,0,1,1,0,0,0.000722,0,0
120,CRUZ VERDE,,LA FLORIDA,33.51926,-70.600275,CRUZ VERDE,,0,1,1,0,1,1,0,0,0.000722,0,0
121,CRUZ VERDE,,LA FLORIDA,33.51926,-70.600275,CRUZ VERDE,,0,1,1,0,1,1,0,0,0.000722,0,0
122,CRUZ VERDE,,LA FLORIDA,33.546543,-70.588089,CRUZ VERDE,,0,1,1,0,1,1,0,0,0.000722,0,0
123,CRUZ VERDE,,LA FLORIDA,33.510449,-70.608448,CRUZ VERDE,,0,1,1,0,1,1,0,0,0.000722,0,0
124,CRUZ VERDE,,LA FLORIDA,33.522345,-70.579265,CRUZ VERDE,,0,1,1,0,1,1,0,0,0.000722,0,0
125,DEL DR. SIMI,,LA FLORIDA,33.521946,-70.579651,DEL DR. SIMI,,0,1,1,0,1,1,0,0,0.000722,0,0
126,FARMA SUR,,LA FLORIDA,33.560976,-70.610744,FARMA SUR,,0,1,1,0,1,1,0,0,0.000722,0,0
127,JUMBO,,LA FLORIDA,33.511162,-70.608098,JUMBO,,0,1,1,0,1,1,0,0,0.000722,0,0
128,REDFARMA,,LA FLORIDA,33.518724,-70.600416,REDFARMA,,0,1,1,0,1,1,0,0,0.000722,0,0
129,REY FARMA,,LA FLORIDA,33.557606,-70.59041,REY FARMA,,0,1,1,0,1,1,0,0,0.000722,0,0
130,ROSARIO,,LA FLORIDA,33.535457,-70.603641,ROSARIO,,0,1,1,0,1,1,0,0,0.000722,0,0
131,ROTONDA  LA FLORIDA,,LA FLORIDA,33.520682,-70.600015,ROTONDA  LA FLORIDA,,0,1,1,0,1,1,0,0,0.000722,0,0
132,SU FARMA,,LA FLORIDA,33.559242,-70.55976,SU FARMA,,0,1,1,0,1,1,0,0,0.000722,0,0
133,SALCOBRAND,,LA FLORIDA,33.547833,-70.568365,SALCOBRAND,,0,1,1,0,1,1,0,0,0.000722,0,0
134,SALCOBRAND,,LA FLORIDA,33.535564,-70.573944,SALCOBRAND,,0,1,1,0,1,1,0,0,0.000722,0,0
135,SALCOBRAND,,LA FLORIDA,33.560726,-70.585402,SALCOBRAND,,0,1,1,0,1,1,0,0,0.000722,0,0
136,SALCOBRAND,,LA FLORIDA,33.510688,-70.608514,SALCOBRAND,,0,1,1,0,1,1,0,0,0.000722,0,0
137,SALCOBRAND,,LA FLORIDA,33.514212,-70.608076,SALCOBRAND,,0,1,1,0,1,1,0,0,0.000722,0,0
138,SALCOBRAND,,LA FLORIDA,33.539481,-70.59156,SALCOBRAND,,0,1,1,0,1,1,0,0,0.000722,0,0
139,CRUZ VERDE,,LA GRANJA,33.550386,-70.617838,CRUZ VERDE,,0,1,1,0,1,1,0,0,0.000831,0,0
140,LOS PALTOS,,LA GRANJA,33.549518,-70.625259,LOS PALTOS,,0,1,1,0,1,1,0,0,0.000831,0,0
141,LOS PALTOS,,LA GRANJA,33.555958,-70.623943,LOS PALTOS,,0,1,1,0,1,1,0,0,0.000831,0,0
142,ESPOZ,,LA GRANJA,33.541513,-70.634116,ESPOZ,,0,1,1,0,1,1,0,0,0.000831,0,0
143,CORDILLERA,,LA PINTANA,33.556595,-70.645634,CORDILLERA,,0,1,1,0,1,1,0,0,0.000811,0,0
144,CRUZ VERDE,,LA PINTANA,33.605702,-70.626815,CRUZ VERDE,,0,1,1,0,1,1,0,0,0.000811,0,0
145,FARMA SUR,,LA PINTANA,33.581962,-70.657895,FARMA SUR,,0,1,1,0,1,1,0,0,0.000811,0,0
146,SUR,,LA PINTANA,33.556434,-70.645119,SUR,,0,1,1,0,1,1,0,0,0.000811,0,0
147,SALCOBRAND,,LA PINTANA,33.582752,-70.631836,SALCOBRAND,,0,1,1,0,1,1,0,0,0.000811,0,0
148,AHUMADA,,LA REINA,33.428451,-70.540534,AHUMADA,,0,1,1,0,1,1,0,0,0.000742,0,0
149,AHUMADA,,LA REINA,33.462165,-70.547272,AHUMADA,,0,1,1,0,1,1,0,0,0.000742,0,0
150,AHUMADA,,LA REINA,33.430313,-70.555769,AHUMADA,,0,1,1,0,1,1,0,0,0.000742,0,0
151,AHUMADA,,LA REINA,33.438801,-70.557014,AHUMADA,,0,1,1,0,1,1,0,0,0.000742,0,0
152,AHUMADA,,LA REINA,33.452498,-70.561026,AHUMADA,,0,1,1,0,1,1,0,0,0.000742,0,0
153,LA REINA,,LA REINA,33.451793,-70.555594,LA REINA,,0,1,1,0,1,1,0,0,0.000742,0,0
154,SALCOBRAND,,LA REINA,33.438685,-70.560922,SALCOBRAND,,0,1,1,0,1,1,0,0,0.000742,0,0
155,SALCOBRAND,,LA REINA,33.441254,-70.535856,SALCOBRAND,,0,1,1,0,1,1,0,0,0.000742,0,0
156,AHUMADA,,LA REINA,33.44052,-70.543281,AHUMADA,,0,1,1,0,1,1,0,0,0.000742,0,0
157,CRUZ VERDE,,LA REINA,33.441344,-70.536114,CRUZ VERDE,,0,1,1,0,1,1,0,0,0.000742,0,0
158,CRUZ VERDE,,LO BARNECHEA,33.356144,-70.51721,CRUZ VERDE,,0,1,1,0,1,1,0,0,0.000751,0,0
159,SALCOBRAND,,LA REINA,33.452677,-70.56197,SALCOBRAND,,0,1,1,0,1,1,0,0,0.000742,0,0
160,SALCOBRAND,,LA REINA,33.438908,-70.557142,SALCOBRAND,,0,1,1,0,1,1,0,0,0.000742,0,0
161,SALCOBRAND,,LA REINA,33.441182,-70.543302,SALCOBRAND,,0,1,1,0,1,1,0,0,0.000742,0,0
162,BELEN,,LAMPA,33.231773,-70.807404,BELEN,,0,1,1,0,1,1,0,0,0.000811,0,0
163,BELEN,,LAMPA,33.287867,-70.871476,BELEN,,0,1,1,0,1,1,0,0,0.000811,0,0
164,LETICIA,,LAMPA,33.284891,-70.877341,LETICIA,,0,1,1,0,1,1,0,0,0.000811,0,0
165,SU FARMACIA S.A.,,LAMPA,33.294326,-70.867519,SU FARMACIA S.A.,,0,1,1,0,1,1,0,0,0.000811,0,0
166,SALCOBRAND,,LAMPA,33.324002,-70.745991,SALCOBRAND,,0,1,1,0,1,1,0,0,0.000811,0,0
167,SALCOBRAND,,LAS CONDES,33.425986,-70.577036,SALCOBRAND,,0,1,1,0,1,1,0.016807,0.129099,0.000721,0,0
168,SALCOBRAND,,LAS CONDES,33.416492,-70.595146,SALCOBRAND,,0,1,1,0,1,1,0.016807,0.129099,0.000721,0,0
169,SALCOBRAND,,LAS CONDES,33.41278,-70.581016,SALCOBRAND,,0,1,1,0,1,1,0.016807,0.129099,0.000721,0,0
170,SALCOBRAND,,LAS CONDES,33.410738,-70.573879,SALCOBRAND,,0,1,1,0,1,1,0.016807,0.129099,0.000721,0,0
171,SALCOBRAND,,LAS CONDES,33.409386,-70.569378,SALCOBRAND,,0,1,1,0,1,1,0.016807,0.129099,0.000721,0,0
172,SALCOBRAND,,LAS CONDES,33.423788,-70.580627,SALCOBRAND,,0,1,1,0,1,1,0.016807,0.129099,0.000721,0,0
173,SALCOBRAND,,LAS CONDES,33.416613,-70.565058,SALCOBRAND,,0,1,1,0,1,1,0.016807,0.129099,0.000721,0,0
174,SALCOBRAND,,LAS CONDES,33.418207,-70.552336,SALCOBRAND,,0,1,1,0,1,1,0.016807,0.129099,0.000721,0,0
175,SALCOBRAND,,LAS CONDES,33.416469,-70.554331,SALCOBRAND,,0,1,1,0,1,1,0.016807,0.129099,0.000721,0,0
176,AHUMADA,,LAS CONDES,33.384242,-70.533968,AHUMADA,,0,1,1,0,1,1,0.016807,0.129099,0.000721,0,0
177,AHUMADA,,LAS CONDES,33.395619,-70.549053,AHUMADA,,0,1,1,0,1,1,0.016807,0.129099,0.000721,0,0
178,AHUMADA,,LAS CONDES,33.401531,-70.56049,AHUMADA,,0,1,1,0,1,1,0.016807,0.129099,0.000721,0,0
179,AHUMADA,,LAS CONDES,33.386052,-70.531178,AHUMADA,,0,1,1,0,1,1,0.016807,0.129099,0.000721,0,0
180,AHUMADA,,LAS CONDES,33.424932,-70.550758,AHUMADA,,0,1,1,0,1,1,0.016807,0.129099,0.000721,0,0
181,AHUMADA,,LAS CONDES,33.400958,-70.514375,AHUMADA,,0,1,1,0,1,1,0.016807,0.129099,0.000721,0,0
182,AHUMADA,,LAS CONDES,33.401253,-70.517153,AHUMADA,,0,1,1,0,1,1,0.016807,0.129099,0.000721,0,0
183,AHUMADA,,LAS CONDES,33.401145,-70.514333,AHUMADA,,0,1,1,0,1,1,0.016807,0.129099,0.000721,0,0
184,AHUMADA,,LAS CONDES,33.41878,-70.572098,AHUMADA,,0,1,1,0,1,1,0.016807,0.129099,0.000721,0,0
185,AHUMADA,,LAS CONDES,33.376502,-70.525642,AHUMADA,,0,1,1,0,1,1,0.016807,0.129099,0.000721,0,0
186,CRUZ VERDE,,LAS CONDES,33.423851,-70.578522,CRUZ VERDE,,0,1,1,0,1,1,0.016807,0.129099,0.000721,0,0
187,CRUZ VERDE,,LAS CONDES,33.416089,-70.593258,CRUZ VERDE,,0,1,1,0,1,1,0.016807,0.129099,0.000721,0,0
188,CRUZ VERDE,,LAS CONDES,33.409177,-70.567914,CRUZ VERDE,,0,1,1,0,1,1,0.016807,0.129099,0.000721,0,0
189,CRUZ VERDE,,LAS CONDES,33.408266,-70.553483,CRUZ VERDE,,0,1,1,0,1,1,0.016807,0.129099,0.000721,0,0
190,CRUZ VERDE,,LAS CONDES,33.401262,-70.523223,CRUZ VERDE,,0,1,1,0,1,1,0.016807,0.129099,0.000721,0,0
191,CRUZ VERDE,,LAS CONDES,33.41668,-70.564999,CRUZ VERDE,,0,1,1,0,1,1,0.016807,0.129099,0.000721,0,0
192,CRUZ VERDE,,LAS CONDES,33.43126,-70.578745,CRUZ VERDE,,0,1,1,0,1,1,0.016807,0.129099,0.000721,0,0
193,CRUZ VERDE,,LAS CONDES,33.428769,-70.540587,CRUZ VERDE,,0,1,1,0,1,1,0.016807,0.129099,0.000721,0,0
194,CRUZ VERDE,,LAS CONDES,33.384402,-70.529446,CRUZ VERDE,,0,1,1,0,1,1,0.016807,0.129099,0.000721,0,0
195,CRUZ VERDE,,LAS CONDES,33.417584,-70.552786,CRUZ VERDE,,0,1,1,0,1,1,0.016807,0.129099,0.000721,0,0
196,CRUZ VERDE,,LAS CONDES,33.401473,-70.560305,CRUZ VERDE,,0,1,1,0,1,1,0.016807,0.129099,0.000721,0,0
197,CRUZ VERDE,,LAS CONDES,33.401871,-70.580534,CRUZ VERDE,,0,1,1,0,1,1,0.016807,0.129099,0.000721,0,0
198,CRUZ VERDE,,LAS CONDES,33.388784,-70.545276,CRUZ VERDE,,0,1,1,0,1,1,0.016807,0.129099,0.000721,0,0
199,CRUZ VERDE,,LAS CONDES,33.388784,-70.545276,CRUZ VERDE,,0,1,1,0,1,1,0.016807,0.129099,0.000721,0,0
200,CRUZ VERDE,,LAS CONDES,33.388793,-70.545233,CRUZ VERDE,,0,1,1,0,1,1,0.016807,0.129099,0.000721,0,0
201,DEL DR. SIMI,,LAS CONDES,33.413942,-70.583546,DEL DR. SIMI,,0,1,1,0,1,1,0.016807,0.129099,0.000721,0,0
202,LA DEHESA,,LO BARNECHEA,33.351513,-70.510453,LA DEHESA,,0,1,1,0,1,1,0,0,0.000751,0,0
203,SALCOBRAND,,LAS CONDES,33.423777,-70.538633,SALCOBRAND,,0,1,1,0,1,1,0.016807,0.129099,0.000721,0,0
204,SALCOBRAND,,LAS CONDES,33.431271,-70.578737,SALCOBRAND,,0,1,1,0,1,1,0.016807,0.129099,0.000721,0,0
205,SALCOBRAND,,LAS CONDES,33.428728,-70.540595,SALCOBRAND,,0,1,1,0,1,1,0.016807,0.129099,0.000721,0,0
