,Source,Target,distancias,longitudclase,pesos
399126,560,559,1105.39462344491,C,0.89258956922564
399128,560,561,1420.60467553612,C,0.866063144043527
399130,560,563,1395.76254099323,C,0.868096360918642
399132,560,565,1648.63682675178,C,0.84783533553207
399133,560,566,1516.91189076517,C,0.858270054869538
399198,560,631,1923.70489385984,C,0.826843410755822
399231,560,664,1940.77915256296,C,0.825574594453093
399278,560,711,1491.36793089663,C,0.860323349144842
399458,561,178,1578.15563675078,C,0.853386805153683
399476,561,196,1583.03639551251,C,0.85300002906676
399477,561,197,1625.3885837122,C,0.849658489530223
399489,561,209,1988.34484017921,C,0.822060356962303
399491,561,211,1704.13860027691,C,0.843514297140411
399492,561,212,1537.11863566681,C,0.856652710817899
399836,561,556,1443.85458717221,C,0.864168852694306
399840,561,560,1420.60467553612,C,0.866063144043527
399842,561,562,1003.58277198445,C,0.901508178061406
399844,561,564,1502.3167296755,C,0.859442052560288
399848,561,568,1556.95648317239,C,0.855070811910746
399867,561,587,1451.07491479619,C,0.863582260163573
399873,561,593,1009.30437939732,C,0.90100224751246
399875,561,595,1452.80231071139,C,0.863442041412472
399878,561,598,1764.30161362735,C,0.838879837676641
400190,562,197,1056.2018260961,C,0.896876666673549
400204,562,211,1820.93315727538,C,0.834563703356696
400205,562,212,1673.81291642007,C,0.845869801295402
400544,562,551,1660.38933066913,C,0.846916664760432
400545,562,552,1728.22296263537,C,0.841652904765646
400547,562,554,1385.78575056284,C,0.868915605703809
400548,562,555,1291.80828008946,C,0.876709135199827
400550,562,557,1094.95905937851,C,0.893495588531106
400551,562,558,1349.32854830575,C,0.871922485837159
400554,562,561,1003.58277198445,C,0.901508178061406
400556,562,563,1543.68355120893,C,0.856128567288601
400558,562,565,1224.39293533066,C,0.882386548011273
400560,562,567,1150.6404631532,C,0.888682470575974
400580,562,587,1954.62153864077,C,0.824548798587904
400586,562,593,1563.45247210684,C,0.854554081270832
400588,562,595,1979.744126968,C,0.822693575441935
400704,562,711,1803.69462946235,C,0.835872816464189
400903,563,197,1748.69468860137,C,0.840077166905057
401259,563,553,1293.78717310792,C,0.876543585397253
401265,563,559,1930.8594995585,C,0.826311265798719
401266,563,560,1395.76254099323,C,0.868096360918642
401268,563,562,1543.68355120893,C,0.856128567288601
401272,563,566,1102.15247045512,C,0.892870857263052
401304,563,598,1080.76621869852,C,0.894730771848427
401970,564,551,1714.71440541286,C,0.84269591888415
401974,564,555,1317.30696862239,C,0.874580748226466
401975,564,556,1436.92068007697,C,0.864732926492016
401977,564,558,1080.13161634803,C,0.894786080181907
401978,564,559,1634.0306812069,C,0.848979851413147
401980,564,561,1502.3167296755,C,0.859442052560288
401984,564,565,1356.56645191872,C,0.871323870846555
401987,564,568,1499.75064135685,C,0.859648441482371
402309,565,177,1938.91761388177,C,0.825712739294741
402310,565,178,1580.52152298242,C,0.853199276531785
402328,565,196,1582.79620235077,C,0.853019054989142
402329,565,197,1838.91379021804,C,0.833202595987039
402341,565,209,1882.58754553229,C,0.82991497265509
402343,565,211,1818.42402665575,C,0.83475399449843
402344,565,212,1654.51176782803,C,0.847375853624409
402688,565,556,1220.5165975788,C,0.882715231897539
402692,565,560,1648.63682675178,C,0.84783533553207
402694,565,562,1224.39293533066,C,0.882386548011273
402696,565,564,1356.56645191872,C,0.871323870846555
402700,565,568,1333.86229377492,C,0.873204392029521
402719,565,587,1348.56771898287,C,0.871985458443088
402727,565,595,1343.3476037759,C,0.872417764314207
402730,565,598,1992.97396169012,C,0.821719946093342
403013,566,168,1345.1864722288,C,0.872265428813081
403014,566,169,1730.38312029123,C,0.841486355448387
403032,566,187,1332.19993803556,C,0.873342399223784
403042,566,197,1533.74849072981,C,0.856922032913235
403046,566,201,1617.55758704866,C,0.850274371985389
403206,566,361,1812.09413635391,C,0.835234435854638
403209,566,364,1818.30658900984,C,0.834762903033352
403217,566,372,1818.19676158135,C,0.834771234447705
403402,566,557,1398.38982943751,C,0.867880877868659
403405,566,560,1516.91189076517,C,0.858270054869538
403408,566,563,1102.15247045512,C,0.892870857263052
403443,566,598,1169.61008435364,C,0.887054551156506
403532,566,687,1801.89854673278,C,0.836009449282919
403726,567,168,1951.82379495089,C,0.82475592097049
403727,567,169,1682.56624310991,C,0.845188549647884
403728,567,170,1931.96158953174,C,0.826229355473672
403745,567,187,1870.05671057618,C,0.830855597537415
403759,567,201,1703.28651377291,C,0.843580302601365
403770,567,212,1986.59487475091,C,0.822189117327994
404111,567,553,1097.14421159547,C,0.893305720640268
404117,567,559,1654.37924870973,C,0.847386212516731
404120,567,562,1150.6404631532,C,0.888682470575974
404447,568,176,1927.96145595396,C,0.826526733807368
404448,568,177,1279.26338718287,C,0.877760069613301
404449,568,178,1902.4555372464,C,0.828427943058453
404467,568,196,1891.44237911569,C,0.829251569384037
404480,568,209,1488.6274654362,C,0.860544219046155
404489,568,218,1281.25365351622,C,0.877593169145351
404822,568,551,1061.96174379667,C,0.896372568801348
404826,568,555,1266.68125696061,C,0.878816657382921
404829,568,558,1260.93642675268,C,0.879299927362436
404832,568,561,1556.95648317239,C,0.855070811910746
404835,568,564,1499.75064135685,C,0.859648441482371
404836,568,565,1333.86229377492,C,0.873204392029521
404858,568,587,1748.41605812444,C,0.840098573882416
404864,568,593,1590.64334685942,C,0.852397914178531
404866,568,595,1708.75735313508,C,0.843156692811568
405272,569,288,1341.61321111271,C,0.87256149360231
405276,569,292,1951.75471251045,C,0.824761036593736
405291,569,307,1732.87450465048,C,0.841294350205596
405321,569,337,1948.12476042418,C,0.825029927449963
405322,569,338,1730.29353006649,C,0.841493261592713
405327,569,343,1852.559677728,C,0.832172582035822
405330,569,346,1948.12476042418,C,0.825029927449963
405331,569,347,1877.19436519356,C,0.830319549579792
405572,569,588,1870.15171485887,C,0.830848458036484
405574,569,590,1868.22301071034,C,0.830993422756906
405575,569,591,1875.41340004875,C,0.830453237808481
405596,569,612,1679.08098333286,C,0.845459668025349
405609,569,625,1762.61910716011,C,0.839008751738553
405667,569,683,1861.87961543793,C,0.831470560245686
405785,570,88,1655.92697933056,C,0.847265243691598
405791,570,94,1084.27220860898,C,0.89442533288984
405792,570,95,1698.68770398385,C,0.84393672013812
406021,570,324,1272.40351704971,C,0.87833581386257
406180,570,483,1738.14541592455,C,0.840888421883168
406187,570,490,1093.79205099798,C,0.893597022963599
406188,570,491,1545.39902364834,C,0.855991709475659
406192,570,495,1593.60953960713,C,0.852163360684057
406193,570,496,1992.49630944288,C,0.821755058075193
406699,571,289,1939.74430848065,C,0.82565138455731
406703,571,293,1796.11905334439,C,0.836449414093366
406711,571,301,1966.84219703908,C,0.823645297886052
406714,571,304,1549.07664861278,C,0.855698461480621
406725,571,315,1791.29685342223,C,0.836816859326293
406773,571,363,1972.97828517215,C,0.823192389395958
406780,571,370,1004.87084419136,C,0.901394231307474
406781,571,371,1305.97017033953,C,0.875525758572805
406787,571,377,1229.93037865162,C,0.881917439398788
406789,571,379,1971.76493822416,C,0.823281907777837
406914,571,504,1443.4194856548,C,0.864204226590409
406915,571,505,1655.37020638549,C,0.847308756439708
406916,571,506,1975.47218487817,C,0.823008455431828
406920,571,510,1412.96317195698,C,0.866687551729197
406923,571,513,1981.52679600809,C,0.822562248175511
406929,571,519,1186.00120606004,C,0.885652706918554
406944,571,534,1422.38025355298,C,0.865918185612273
406949,571,539,1962.60880477319,C,0.823958057842372
406951,571,541,1992.24316197415,C,0.821773668037748
407006,571,596,1672.41772395799,C,0.845978487460185
407017,571,607,1713.34521414684,C,0.842801780314633
407019,571,609,1015.06629448863,C,0.900493326327047
407081,571,671,1911.84345632167,C,0.82772715195263
407094,571,684,1782.28611479593,C,0.837504331586102
407122,571,712,1417.3149727776,C,0.866331844124675
408270,573,434,1001.05396520442,C,0.901731967757982
408271,573,435,1258.4537751526,C,0.879508938955689
408272,573,436,1650.91446729111,C,0.847657141060872
408273,573,437,1574.52766439434,C,0.853674531427095
408276,573,440,1326.63841348645,C,0.873804428981899
408277,573,441,1025.29647948257,C,0.899591160301476
408278,573,442,1439.22176665041,C,0.864545651327164
408482,573,646,1607.65380806879,C,0.851054551838123
408541,573,705,1396.03961831339,C,0.868073630743544
408681,574,132,1151.29399321303,C,0.88862628709527
408948,574,399,1270.73113811136,C,0.878476290022992
408953,574,404,1493.93322498756,C,0.860116700027955
408961,574,412,1389.44311837581,C,0.868615101249173
408968,574,419,1070.16289127724,C,0.895655795825259
408970,574,421,1926.01689052257,C,0.826671374225508
410216,576,241,1439.87109389231,C,0.864492820154806
410290,576,315,1815.74648724338,C,0.834957153407026
410457,576,482,1438.29616464996,C,0.864620972189548
410516,576,541,1644.71505807645,C,0.848142336349257
410785,577,97,1107.60854292384,C,0.892397592172179
410786,577,98,1282.52795164406,C,0.87748634192019
410787,577,99,1478.62535934952,C,0.86135130960943
410796,577,108,1944.86747821895,C,0.825271361859907
410800,577,112,1502.17004118772,C,0.859453847955446
410805,577,117,1649.3350162764,C,0.847780703711686
410808,577,120,1707.85259123862,C,0.843226719607668
410809,577,121,1707.85259123862,C,0.843226719607668
410816,577,128,1718.35616775459,C,0.842414479016978
410819,577,131,1700.79662049913,C,0.84377323724265
411030,577,342,1361.88000368762,C,0.870884933424525
411044,577,356,1733.05781451617,C,0.841280226397893
411330,577,642,1710.20977325234,C,0.843044302662258
411355,577,667,1761.46465616767,C,0.839097228981773
411367,577,679,1597.76970559999,C,0.851834610426446
411370,577,682,1597.67619350172,C,0.851841997279071
411396,577,708,1684.4862707333,C,0.845039264956803
411577,578,176,1166.51883647814,C,0.887319426450792
411580,578,179,1346.25851838459,C,0.872176642934011
411595,578,194,1550.99386399312,C,0.85554566542125
411597,578,196,1983.84858420366,C,0.822391267446069
411610,578,209,1192.24510947317,C,0.885119864217354
411952,578,551,1674.09877864119,C,0.845847535937747
411957,578,556,1052.93229073262,C,0.897163063006307
412282,579,168,1661.81126753276,C,0.846805649663641
412301,579,187,1837.96187685663,C,0.833274543113722
412327,579,213,1702.13568006131,C,0.843669466416043
412476,579,362,1044.68118256717,C,0.897886636211836
412477,579,363,1689.34095456991,C,0.844662041994133
412479,579,365,1806.22610385027,C,0.835680316250727
412481,579,367,1029.64312882854,C,0.899208390700722
412482,579,368,1782.69759421696,C,0.837472913244711
412487,579,373,1947.89806411284,C,0.825046725930655
412488,579,374,1245.37467768689,C,0.88061169586189
412489,579,375,1685.41696584507,C,0.844966921154255
412492,579,378,1650.73801709418,C,0.847670943218153
412496,579,382,1702.90073582097,C,0.843610189644714
412713,579,599,1881.24898919429,C,0.830015349532581
412785,579,671,1771.4080164254,C,0.838335780076232
413296,580,469,1160.21872739826,C,0.887859744813754
413297,580,470,1160.21872739826,C,0.887859744813754
413304,580,477,1160.21872739826,C,0.887859744813754
413416,580,589,1769.19132197729,C,0.838505411773995
413437,580,610,1630.18842918583,C,0.849281438100115
413459,580,632,1657.06475298669,C,0.847176338650746
413460,580,633,1506.69281502104,C,0.859090315192318
413690,581,150,1421.41186415918,C,0.865997239038141
413691,581,151,1889.95562249424,C,0.829362882946414
413695,581,155,1454.73629598925,C,0.863285107100947
413696,581,156,1328.52063208538,C,0.873648006887788
413697,581,157,1457.20612148225,C,0.863084774662943
413700,581,160,1906.56768515675,C,0.828120832689321
413701,581,161,1401.05502555606,C,0.86766239500972
413714,581,174,1600.13710112932,C,0.85164764411624
413715,581,175,1867.67142272635,C,0.83103489036104
413720,581,180,1035.66434692685,C,0.898678694987625
413735,581,195,1679.29386515233,C,0.845443102959874
413754,581,214,1417.34181750441,C,0.866329650795837
413809,581,269,1863.98152040561,C,0.83131239847651
414146,581,606,1277.38907961157,C,0.877917304022139
414212,581,672,1466.39116744359,C,0.862340572526914
414236,581,696,1431.66843256663,C,0.865160687564562
414738,582,485,1239.67851268179,C,0.881092829787338
415215,583,249,1466.66464936014,C,0.862318433812
415226,583,260,1127.7078945429,C,0.890658474591845
415286,583,320,1967.01168961724,C,0.823632780840415
415509,583,543,1833.79156363095,C,0.833589888535763
415656,583,690,1271.12184073718,C,0.878443467837519
416131,584,452,1587.42913343705,C,0.852652225867328
416132,584,453,1345.37030071428,C,0.872250203022521
416133,584,454,1036.57515291637,C,0.898598624333512
416383,584,704,1932.00107990387,C,0.826226420743148
416612,585,220,1870.31129577194,C,0.83083646592612
416620,585,228,1289.10791901319,C,0.876935142334145
417120,586,15,1721.04494450676,C,0.842206807651833
417498,586,393,1058.94917154319,C,0.896636153125565
417499,586,394,1090.92217359138,C,0.893846565932394
417503,586,398,1663.23575940174,C,0.846694464268228
417796,586,691,1128.18430771911,C,0.890617334674407
418369,587,551,1794.79920746827,C,0.83654995251967
418373,587,555,1324.0017317838,C,0.874023645074259
418374,587,556,1673.69701227138,C,0.845878829220774
418376,587,558,1080.23173061293,C,0.894777354337406
418377,587,559,1446.48003480601,C,0.863955464382144
418379,587,561,1451.07491479619,C,0.863582260163573
418380,587,562,1954.62153864077,C,0.824548798587904
418383,587,565,1348.56771898287,C,0.871985458443088
418386,587,568,1748.41605812444,C,0.840098573882416
418682,588,151,1983.27907414392,C,0.82243320062883
418684,588,153,1293.03776663412,C,0.87660627172557
418685,588,154,1808.88714413405,C,0.835478059058413
418691,588,160,1966.71232395911,C,0.823654889284818
418800,588,269,1969.27097864385,C,0.823465968423405
418823,588,292,1649.85217011159,C,0.847740242081185
418830,588,299,1183.67272925269,C,0.885851578916818
418833,588,302,1181.00979434562,C,0.886079126026283
418841,588,310,1215.43431346681,C,0.883146542005427
418867,588,336,1830.11581337815,C,0.833868034692095
418881,588,350,1866.29449047073,C,0.831138424242299
419100,588,569,1870.15171485887,C,0.830848458036484
419143,588,612,1631.74982807548,C,0.849158854677178
419149,588,618,1356.66320596566,C,0.871315874314527
419151,588,620,1095.90386052411,C,0.893413484849798
419171,588,640,1862.29328760268,C,0.831439427953743
419214,588,683,1532.75247745466,C,0.857001660839008
419824,589,580,1769.19132197729,C,0.838505411773995
420108,590,151,1984.90649525266,C,0.822313384511795
420110,590,153,1293.31006062104,C,0.876583493850005
420111,590,154,1810.68554027133,C,0.835341424130603
420117,590,160,1968.34140691142,C,0.823534594269946
420226,590,269,1970.79275666607,C,0.823353647496115
420249,590,292,1649.574430744,C,0.847761971668397
420256,590,299,1184.62835939296,C,0.885769949057573
420259,590,302,1181.91305805991,C,0.886001929272065
420267,590,310,1217.36861724051,C,0.882982336856504
420293,590,336,1828.2331599097,C,0.83401056806803
420307,590,350,1864.36607167892,C,0.831283468707998
420526,590,569,1868.22301071034,C,0.830993422756906
420569,590,612,1631.12642159077,C,0.849207793276174
420575,590,618,1356.93038923427,C,0.871293792904196
420577,590,620,1094.1534800627,C,0.893565605687102
420597,590,640,1862.5431304069,C,0.831420626321278
420640,590,683,1532.42175241344,C,0.857028104471321
420821,591,151,1979.58971870001,C,0.822704952502554
