,Source,Target,distancias,longitudclase,pesos
272952,383,586,702.748689789718,B,0.928933949088602
273771,384,692,514.362401515633,B,0.946974496461094
274180,385,388,829.886098528211,B,0.91714236241871
274893,386,388,806.408064149669,B,0.919297285479794
275988,388,57,910.55673721163,B,0.90981441464407
276316,388,385,829.886098528211,B,0.91714236241871
276317,388,386,806.408064149669,B,0.919297285479794
277749,390,392,745.512975767497,B,0.924934003267214
278453,391,383,528.241917230886,B,0.945621467097588
278463,391,393,750.64514665383,B,0.924456280944808
278744,391,674,620.359915781732,B,0.936738511427375
278761,391,691,970.716139086501,B,0.904425436845475
279173,392,390,745.512975767497,B,0.924934003267214
279180,392,397,895.900566583501,B,0.911137032334762
279879,393,383,933.949337041783,B,0.907711331875028
279887,393,391,750.64514665383,B,0.924456280944808
279894,393,398,616.860706749078,B,0.93707289038465
280187,393,691,727.579417288114,B,0.926607212291736
281320,395,398,846.897486667199,B,0.915587279464783
281651,396,16,984.332050046769,B,0.903214594166011
282221,396,586,567.102154177469,B,0.94185370458687
282740,397,392,895.900566583501,B,0.911137032334762
283454,398,393,616.860706749078,B,0.93707289038465
283456,398,395,846.897486667199,B,0.915587279464783
283735,398,674,893.202092068207,B,0.911380970233596
283752,398,691,950.860148780547,B,0.906197031081127
284182,399,408,979.196189984834,B,0.903670937537528
284193,399,419,749.254272751307,B,0.924585700115087
284368,399,594,964.137951251388,B,0.905011589157405
284911,400,424,608.859286930934,B,0.937838391347969
285624,401,424,600.773471089408,B,0.938613238125373
286323,402,410,507.361309747765,B,0.947658460393312
286339,402,426,902.801414590987,B,0.910513799973216
289887,407,409,684.957625444354,B,0.930608240163774
290323,408,132,852.081984912415,B,0.915114390510387
290590,408,399,979.196189984834,B,0.903670937537528
290604,408,413,561.513885635059,B,0.942393675522377
290610,408,419,922.982482166347,B,0.908696081472714
290615,408,424,889.737832462648,B,0.911694325458693
291311,409,407,684.957625444354,B,0.930608240163774
291319,409,415,925.186619847032,B,0.908497993252578
