,id,latitude,longitude,label
410,ARES,-33.568443,-70.583565,PUENTE ALTO
411,CARMEN,-33.609991,-70.551392,PUENTE ALTO
412,CATALINA,-33.576334,-70.566777,PUENTE ALTO
413,CRUZ VERDE,-33.571355,-70.555026,PUENTE ALTO
414,CRUZ VERDE,-33.569029,-70.554929,PUENTE ALTO
415,CRUZ VERDE,-33.609906,-70.575866,PUENTE ALTO
416,CRUZ VERDE,-33.572383,-70.583299,PUENTE ALTO
417,CRUZ VERDE,-33.569366,-70.583538,PUENTE ALTO
418,CRUZ VERDE,-33.608347,-70.576046,PUENTE ALTO
419,CRUZ VERDE,-33.559537,-70.551508,PUENTE ALTO
420,CRUZ VERDE,-33.609517,-70.575524,PUENTE ALTO
421,CRUZ VERDE,-33.581626,-70.568794,PUENTE ALTO
422,CRUZ VERDE,-33.611657,-70.577084,PUENTE ALTO
423,J M,-33.608356,-70.528214,PUENTE ALTO
424,DEL DR. SIMI ,-33.574457,-70.555361,PUENTE ALTO
425,FULLFARMA,-33.589942,-70.58568,PUENTE ALTO
426,SALUD FARMA,-33.580998,-70.58118,PUENTE ALTO
427,LOS PALTOS,-33.582317,-70.60102080000001,PUENTE ALTO
428,MEDDICA,-33.594228,-70.559138,PUENTE ALTO
429,PATRICIO,-33.611894,-70.551872,PUENTE ALTO
430,PATRICIO ,-33.625231,-70.609237,PUENTE ALTO
431,DONDE'L LORITO,-33.582199,-70.606087,PUENTE ALTO
432,SALCOBRAND,-33.609616,-70.575918,PUENTE ALTO
433,SALCOBRAND,-33.595224,-70.590104,PUENTE ALTO
434,SALCOBRAND,-33.366789,-70.720092,QUILICURA
435,AHUMADA,-33.35618,-70.729107,QUILICURA
436,AHUMADA ,-33.38230576855998,-70.73004488985748,QUILICURA
437,BELEN,-33.366843,-70.713917,QUILICURA
438,BELEN,-33.367224,-70.734052,QUILICURA
439,CRUZ VERDE,-33.365681,-70.728849,QUILICURA
440,CRUZ VERDE,-33.355561,-70.729102,QUILICURA
441,NUEVA REAL ,-33.358277,-70.729319,QUILICURA
442,SCANDIC,-33.361861,-70.744786,QUILICURA
443,SALCOBRAND ,-33.367883,-70.732212,QUILICURA
444,AHUMADA,-33.432722,-70.680556,QUINTA NORMAL
445,CRUZ VERDE,-33.430501,-70.692356,QUINTA NORMAL
446,EMIFAR,-33.416474,-70.711044,QUINTA NORMAL
447,MACARENA,-33.42251,-70.713359,QUINTA NORMAL
448,MENDOZA,-33.423105,-70.69258,QUINTA NORMAL
449,MEVIC,-33.428854,-70.715467,QUINTA NORMAL
450,MYPHARMA,-33.441632,-70.707257,QUINTA NORMAL
451,AHUMADA,-33.405714,-70.643169,RECOLETA
452,AHUMADA,-33.393881,-70.642527,RECOLETA
453,B P M,-33.391151,-70.641205,RECOLETA
454,CRUZ DEL NORTE,-33.388507,-70.642304,RECOLETA
455,FARMARKET,-33.403864,-70.631957,RECOLETA
456,CRUZ VERDE,-33.402695,-70.643003,RECOLETA
457,CRUZ VERDE,-33.429534,-70.647091,RECOLETA
458,MARSIL,-33.431213,-70.651344,RECOLETA
459,EL SALTO,-33.410583,-70.636818,RECOLETA
460,AHUMADA,-33.405203,-70.704613,RENCA
461,CRUZ VERDE,-33.406582,-70.700875,RENCA
462,CRUZ VERDE,-33.405687,-70.704351,RENCA
463,MEDDICA,-33.400438,-70.744682,RENCA
464,DONDE'L LORITO,-33.409302,-70.746696,RENCA
465,SALCOBRAND,-33.404343,-70.705514,RENCA
466,SALCOBRAND,-33.592758,-70.704956,SAN BERNARDO
467,SALCOBRAND,-33.593692,-70.705686,SAN BERNARDO
468,SALCOBRAND,-33.594272,-70.705896,SAN BERNARDO
469,SALCOBRAND,-33.630736,-70.707929,SAN BERNARDO
470,SALCOBRAND,-33.630736,-70.707929,SAN BERNARDO
471,AHUMADA,-33.592704,-70.70516,SAN BERNARDO
472,AHUMADA,-33.597239,-70.699727,SAN BERNARDO
473,BELEN,-33.587471,-70.678018,SAN BERNARDO
474,CRUZ VERDE,-33.592720,-70.705239,SAN BERNARDO
475,CRUZ VERDE,-33.590117,-70.704405,SAN BERNARDO
476,CRUZ VERDE,-33.593808,-70.705735,SAN BERNARDO
477,CRUZ VERDE,-33.630736,-70.707929,SAN BERNARDO
478,CRUZ VERDE,-33.5916,-70.704514,SAN BERNARDO
479,LOS ALMENDROS,-33.592994,-70.697068,SAN BERNARDO
480,LOS OLIVOS,-33.579037,-70.694487,SAN BERNARDO
481,LA BOTIKA,-33.517887,-70.629028,SAN JOAQUIN
482,DAMYFAR ,-33.49175,-70.617843,SAN JOAQUIN
483,DEL DR. SIMI ,-33.506374,-70.638138,SAN JOAQUIN
484,FARMAVIDA,-33.505712,-70.623572,SAN JOAQUIN
485,THERAPIA IV,-33.473563,-70.626895,SAN JOAQUIN
486,SAN ANDRES,-33.639899,-70.352269,SAN JOSE DE MAIPO
487,SALCOBRAND,-33.491357,-70.650793,SAN MIGUEL
488,SALCOBRAND,-33.506356,-70.655614,SAN MIGUEL
489,AHUMADA,-33.512247,-70.657293,SAN MIGUEL
490,AHUMADA,-33.499427,-70.653833,SAN MIGUEL
491,CARYVON,-33.495502,-70.652532,SAN MIGUEL
492,CRUZ VERDE,-33.48597,-70.650719,SAN MIGUEL
493,CRUZ VERDE,-33.50653,-70.655888,SAN MIGUEL
494,CRUZ VERDE,-33.504008,-70.655161,SAN MIGUEL
495,CRUZ VERDE,-33.495043,-70.652588,SAN MIGUEL
496,SAN JOSE,-33.491061,-70.657234,SAN MIGUEL
497,SALCOBRAND,-33.505736,-70.655635,SAN MIGUEL
498,CRUZ VERDE,-33.545141,-70.634109,SAN RAMON
499,MANRIQUEZ,-33.537941,-70.634720,SAN RAMON
500,DEL DR. SIMI ,-33.533973,-70.634794,SAN RAMON
501,SALCOBRAND,-33.43727,-70.651269,SANTIAGO
502,SALCOBRAND,-33.438783,-70.654192,SANTIAGO
503,SALCOBRAND,-33.439508,-70.649606,SANTIAGO
504,SALCOBRAND,-33.437395,-70.635611,SANTIAGO
505,SALCOBRAND,-33.44298,-70.647425,SANTIAGO
506,SALCOBRAND,-33.441919,-70.650647,SANTIAGO
507,SALCOBRAND,-33.438652,-70.651106,SANTIAGO
508,SALCOBRAND,-33.43515,-70.651572,SANTIAGO
509,SALCOBRAND,-33.43517,-70.651481,SANTIAGO
510,SALCOBRAND,-33.450905,-70.646866,SANTIAGO
511,SALCOBRAND,-33.444692,-70.657432,SANTIAGO
512,SALCOBRAND,-33.453286,-70.661319,SANTIAGO
513,AHUMADA,-33.453223,-70.652669,SANTIAGO
514,AHUMADA,-33.436196,-70.651419,SANTIAGO
515,AHUMADA,-33.440397,-70.650848,SANTIAGO
516,CRUZ VERDE,-33.454199,-70.657393,SANTIAGO
517,CRUZ VERDE,-33.440305,-70.668658,SANTIAGO
518,CRUZ VERDE,-33.452283,-70.677926,SANTIAGO
519,CRUZ VERDE,-33.4423637,-70.6406479,SANTIAGO
520,CRUZ VERDE,-33.439627,-70.65095,SANTIAGO
521,CRUZ VERDE,-33.444562,-70.636873,SANTIAGO
522,CRUZ VERDE,-33.448138,-70.635397,SANTIAGO
523,CRUZ VERDE,-33.470108,-70.656666,SANTIAGO
524,CRUZ VERDE,-33.473182,-70.648356,SANTIAGO
525,CRUZ VERDE,-33.439123,-70.658111,SANTIAGO
526,CRUZ VERDE,-33.435005,-70.670935,SANTIAGO
527,CRUZ VERDE,-33.435902,-70.652175,SANTIAGO
528,CRUZ VERDE ,-33.451659,-70.664505,SANTIAGO
