Id,Label,timeset,farmacia,lat,lng,nombre,comune,poblacion,POBLA,Degree,Weighted Degree,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,modularity_class,pageranks,componentnumber,clustering,triangles,eigencentrality
74,SALCOBRAND,,HUECHURABA,33.348222,-70.670417,SALCOBRAND,,,,7,2.733506,18,0.097163,0.119701,0.4,3,0.001066,1,0.904762,19,0.005051
75,MEDDICA,,INDEPENDENCIA,33.41751,-70.656496,MEDDICA,,,,14,2.373503,14,0.153741,0.206816,1606.330042,3,0.001167,1,0.56044,51,0.073725
76,CRUZ VERDE,,INDEPENDENCIA,33.406802,-70.660646,CRUZ VERDE,,,,15,3.132099,15,0.143431,0.190712,2255.184737,3,0.001411,1,0.580952,61,0.027206
77,CRUZ VERDE,,INDEPENDENCIA,33.419606,-70.663331,CRUZ VERDE,,,,14,2.542211,14,0.161698,0.215897,2780.016709,3,0.001062,1,0.604396,55,0.099546
78,CRUZ VERDE,,INDEPENDENCIA,33.420034,-70.655933,CRUZ VERDE,,,,19,2.941198,14,0.157638,0.216098,5714.135773,3,0.001226,1,0.51462,88,0.21599
79,MAESTRE,,INDEPENDENCIA,33.414275,-70.678147,MAESTRE,,,,8,1.01055,15,0.144041,0.184489,2545.432949,3,0.000846,1,0.75,21,0.013766
80,NOVOA,,INDEPENDENCIA,33.408777,-70.671801,NOVOA,,,,13,1.795492,15,0.14331,0.188746,3435.298445,3,0.001247,1,0.628205,49,0.024609
81,SANTA LAURA,,INDEPENDENCIA,33.405615,-70.660912,SANTA LAURA,,,,15,2.855128,15,0.143431,0.190712,2255.184737,3,0.001411,1,0.580952,61,0.027206
82,VALLE DE VIDA,,INDEPENDENCIA,33.407093,-70.660249,VALLE DE VIDA,,,,15,3.070893,15,0.143431,0.190712,2255.184737,3,0.001411,1,0.580952,61,0.027206
83,ECUANASER,,ISLA DE MAIPO,33.745037,-70.864777,ECUANASER,,,,2,0.408247,2,0.625,0.7,0,4,0.000966,4,1,1,0.00074
84,ECUANASER,,ISLA DE MAIPO,33.754429,-70.90094,ECUANASER,,,,3,1.029321,2,0.714286,0.8,0,4,0.001282,4,1,3,0.001134
85,FARMAMARKET,,ISLA DE MAIPO,33.756367,-70.896568,FARMAMARKET,,,,3,0.695518,2,0.714286,0.8,0,4,0.001282,4,1,3,0.001134
86,SALCOBRAND,,LA CISTERNA,33.538005,-70.664369,SALCOBRAND,,,,14,5.072841,14,0.123004,0.157932,375.177034,20,0.001433,1,0.802198,73,0.016835
87,AHUMADA,,LA CISTERNA,33.538335,-70.663864,AHUMADA,,,,14,4.919281,14,0.123004,0.157932,375.177034,20,0.001433,1,0.802198,73,0.016835
88,AHUMADA,,LA CISTERNA,33.52358,-70.660504,AHUMADA,,,,14,2.752639,13,0.133939,0.16904,2763.641939,20,0.001384,1,0.593407,54,0.017542
89,BELEN,,LA CISTERNA,33.535849,-70.664092,BELEN,,,,15,3.723822,14,0.130234,0.166635,12408.122905,20,0.001519,1,0.733333,77,0.017891
90,CRUZ VERDE,,LA CISTERNA,33.538403,-70.664446,CRUZ VERDE,,,,15,5.12144,14,0.123027,0.15867,672.565932,20,0.001531,1,0.752381,79,0.017691
91,DEL DR. SIMI,,LA CISTERNA,33.5378,-70.663723,DEL DR. SIMI,,,,14,4.786316,14,0.123004,0.157932,375.177034,20,0.001433,1,0.802198,73,0.016835
92,DEL DR. SIMI,,LA CISTERNA,33.527418,-70.661756,DEL DR. SIMI,,,,12,2.156371,13,0.133833,0.167025,1668.998398,20,0.00123,1,0.757576,50,0.014606
