Source,Target,Type,Id,Label,timeset,Weight,comunas
Metropolitano Oriente,290,Undirected,1707,,,1,NUNOA
Metropolitano Oriente,291,Undirected,1708,,,1,NUNOA
Metropolitano Oriente,292,Undirected,1709,,,1,NUNOA
Metropolitano Oriente,293,Undirected,1710,,,1,NUNOA
Metropolitano Oriente,294,Undirected,1711,,,1,NUNOA
Metropolitano Oriente,295,Undirected,1712,,,1,NUNOA
Metropolitano Oriente,296,Undirected,1713,,,1,NUNOA
Metropolitano Oriente,297,Undirected,1714,,,1,NUNOA
Metropolitano Oriente,298,Undirected,1715,,,1,NUNOA
Metropolitano Oriente,299,Undirected,1716,,,1,NUNOA
Metropolitano Oriente,300,Undirected,1717,,,1,NUNOA
Metropolitano Oriente,301,Undirected,1718,,,1,NUNOA
Metropolitano Oriente,302,Undirected,1719,,,1,NUNOA
Metropolitano Oriente,303,Undirected,1720,,,1,NUNOA
Metropolitano Oriente,304,Undirected,1721,,,1,NUNOA
Metropolitano Oriente,305,Undirected,1722,,,1,NUNOA
Metropolitano Oriente,306,Undirected,1723,,,1,NUNOA
Metropolitano Oriente,307,Undirected,1724,,,1,NUNOA
Metropolitano Oriente,308,Undirected,1725,,,1,NUNOA
Metropolitano Oriente,309,Undirected,1726,,,1,NUNOA
Metropolitano Oriente,310,Undirected,1727,,,1,NUNOA
Metropolitano Oriente,311,Undirected,1728,,,1,NUNOA
Metropolitano Oriente,312,Undirected,1729,,,1,NUNOA
Metropolitano Oriente,313,Undirected,1730,,,1,NUNOA
Metropolitano Oriente,314,Undirected,1731,,,1,NUNOA
Metropolitano Oriente,315,Undirected,1732,,,1,NUNOA
Metropolitano Oriente,316,Undirected,1733,,,1,NUNOA
Metropolitano Oriente,317,Undirected,1734,,,1,NUNOA
Metropolitano Oriente,318,Undirected,1735,,,1,NUNOA
Metropolitano Occidente,319,Undirected,1736,,,1,PADRE HURTADO
Metropolitano Occidente,320,Undirected,1737,,,1,PADRE HURTADO
Metropolitano Sur,321,Undirected,1738,,,1,PAINE
Metropolitano Sur,322,Undirected,1739,,,1,PAINE
Metropolitano Sur,323,Undirected,1740,,,1,PEDRO AGUIRRE CERDA
Metropolitano Sur,324,Undirected,1741,,,1,PEDRO AGUIRRE CERDA
Metropolitano Sur,325,Undirected,1742,,,1,PEDRO AGUIRRE CERDA
Metropolitano Sur,326,Undirected,1743,,,1,PEDRO AGUIRRE CERDA
Metropolitano Occidente,327,Undirected,1744,,,1,PENAFLOR
Metropolitano Occidente,328,Undirected,1745,,,1,PENAFLOR
Metropolitano Occidente,329,Undirected,1746,,,1,PENAFLOR
Metropolitano Occidente,330,Undirected,1747,,,1,PENAFLOR
Metropolitano Occidente,331,Undirected,1748,,,1,PENAFLOR
Metropolitano Occidente,332,Undirected,1749,,,1,PENAFLOR
Metropolitano Occidente,333,Undirected,1750,,,1,PENAFLOR
Metropolitano Occidente,334,Undirected,1751,,,1,PENAFLOR
Metropolitano Oriente,335,Undirected,1752,,,1,PENALOLEN
Metropolitano Oriente,336,Undirected,1753,,,1,PENALOLEN
Metropolitano Oriente,337,Undirected,1754,,,1,PENALOLEN
Metropolitano Oriente,338,Undirected,1755,,,1,PENALOLEN
Metropolitano Oriente,339,Undirected,1756,,,1,PENALOLEN
Metropolitano Oriente,340,Undirected,1757,,,1,PENALOLEN
Metropolitano Oriente,341,Undirected,1758,,,1,PENALOLEN
Metropolitano Oriente,342,Undirected,1759,,,1,PENALOLEN
Metropolitano Oriente,343,Undirected,1760,,,1,PENALOLEN
Metropolitano Oriente,344,Undirected,1761,,,1,PENALOLEN
Metropolitano Oriente,345,Undirected,1762,,,1,PENALOLEN
Metropolitano Oriente,346,Undirected,1763,,,1,PENALOLEN
Metropolitano Oriente,347,Undirected,1764,,,1,PENALOLEN
Metropolitano Oriente,348,Undirected,1765,,,1,PENALOLEN
Metropolitano Oriente,349,Undirected,1766,,,1,PENALOLEN
Metropolitano Oriente,350,Undirected,1767,,,1,PENALOLEN
Metropolitano Oriente,351,Undirected,1768,,,1,PENALOLEN
Metropolitano Oriente,352,Undirected,1769,,,1,PENALOLEN
Metropolitano Oriente,353,Undirected,1770,,,1,PENALOLEN
Metropolitano Oriente,354,Undirected,1771,,,1,PENALOLEN
Metropolitano Oriente,355,Undirected,1772,,,1,PENALOLEN
Metropolitano Oriente,356,Undirected,1773,,,1,PENALOLEN
Metropolitano Oriente,357,Undirected,1774,,,1,PENALOLEN
Metropolitano Oriente,358,Undirected,1775,,,1,PENALOLEN
Metropolitano Suroriente,359,Undirected,1776,,,1,PIRQUE
Metropolitano Oriente,360,Undirected,1777,,,1,PROVIDENCIA
Metropolitano Oriente,361,Undirected,1778,,,1,PROVIDENCIA
Metropolitano Oriente,362,Undirected,1779,,,1,PROVIDENCIA
